store|cash_machine|business_date|item|quantity|unit_prince|line_amount|tran_seq_no|line_seq_no
1001|1|13/01/2022 17:12:17|50|2|10.59|21.19|160|32
1001|1|13/01/2022 17:40:01|50|5|13.87|69.36|161|37
1001|1|13/01/2022 17:42:54|41|10|18.32|183.19|162|38
1001|1|13/01/2022 17:42:54|40|10|18.32|183.19|163|38
1001|1|13/01/2022 17:44:09|173|1|3.00|3.00|164|39
1001|1|13/01/2022 17:44:09|191|1|21.00|21.00|165|39
1001|1|13/01/2022 18:04:32|321|1|32.00|32.00|166|40
1001|1|13/01/2022 18:04:32|310|1|-1.12|-1.12|167|40
1001|1|13/01/2022 18:04:32|340|1|45.00|45.00|168|40
1001|1|13/01/2022 18:06:51|191|1|21.00|21.00|169|41
1001|1|13/01/2022 18:07:52|140|1|20.00|20.00|170|42
1001|1|13/01/2022 18:07:52|170|1|1.50|1.50|171|42
1001|1|13/01/2022 18:09:22|33|1|9.00|9.00|172|43
1001|1|13/01/2022 18:09:22|37|1|9.00|9.00|173|43
1001|1|13/01/2022 18:09:22|36|1|9.00|9.00|174|43
1001|1|13/01/2022 18:09:22|40|2|10.04|20.07|175|43
1001|1|13/01/2022 18:09:22|173|1|3.00|3.00|176|43
1001|1|13/01/2022 18:09:22|41|1|9.00|9.00|177|43
1001|1|13/01/2022 18:09:22|30|1|9.00|9.00|178|43
1001|1|13/01/2022 18:10:33|80|1|40.00|40.00|179|44
1001|1|13/01/2022 18:21:06|21|2|7.81|15.61|180|45
1001|1|13/01/2022 18:21:06|25|2|7.81|15.61|181|45
1001|1|13/01/2022 18:21:06|41|2|10.04|20.07|182|45
1001|1|13/01/2022 18:21:06|174|1|3.50|3.50|183|45
1001|1|13/01/2022 18:21:06|20|2|7.81|15.61|184|45
1001|1|13/01/2022 18:21:06|40|2|10.04|20.07|185|45
1001|1|13/01/2022 18:21:06|50|2|10.59|21.19|186|45
1001|1|13/01/2022 18:22:43|40|6|14.18|85.06|187|46
